ID,Pass,Grade,Pass Sess 0,Grade Sess 0,Grade Sess 1,Pass Sess 1
247684,1,1,1,1,-1,-1
247695,1,1,1,1,-1,-1
247710,1,1,1,1,1,1
247716,1,2,1,2,-1,-1
247719,1,2,1,2,-1,-1
247752,1,2,1,2,-1,-1
247756,1,2,1,2,-1,-1
247780,1,1,1,1,-1,-1
247818,1,2,1,2,-1,-1
247821,1,2,1,2,-1,-1
247823,1,1,1,1,-1,-1
247850,1,1,1,1,-1,-1
247890,1,1,1,1,-1,-1
247919,1,1,1,1,-1,-1
247938,1,2,1,2,-1,-1
248008,1,2,1,2,-1,-1
248059,1,1,1,1,-1,-1
248119,1,2,1,2,-1,-1
248134,1,1,1,1,-1,-1
248174,1,2,1,2,-1,-1
248223,1,1,1,2,1,1
248310,1,1,1,1,-1,-1
248317,1,1,1,1,-1,-1
248329,1,2,1,2,-1,-1
248350,1,1,1,1,-1,-1
248378,1,2,1,2,-1,-1
248380,1,2,1,2,-1,-1
248398,1,2,1,2,-1,-1
248403,1,1,1,1,-1,-1
248451,1,2,1,2,-1,-1
248472,1,1,1,1,-1,-1
248570,1,2,1,2,-1,-1
248602,1,1,1,3,1,1
248620,1,3,1,3,-1,-1
248636,1,1,1,1,-1,-1
248645,1,1,1,1,-1,-1
248665,1,1,1,1,-1,-1
248711,1,1,1,1,-1,-1
248717,1,2,1,2,-1,-1
248720,1,1,1,1,-1,-1
248751,1,1,1,1,-1,-1
248791,1,1,1,1,-1,-1
248811,1,1,1,1,-1,-1
248837,1,1,1,3,1,1
248850,1,2,1,2,-1,-1
248876,1,2,1,2,-1,-1
248912,1,2,0,-1,2,1
248924,1,1,1,1,-1,-1
248992,1,1,1,1,-1,-1
249032,1,1,1,1,-1,-1
249062,1,1,1,1,-1,-1
249066,1,2,1,2,-1,-1
249099,1,2,1,2,-1,-1
249118,1,2,1,2,-1,-1
249123,1,1,1,1,-1,-1
249126,1,1,1,1,-1,-1
249180,1,1,1,1,-1,-1
249193,1,3,0,-1,3,1
249288,1,2,1,2,-1,-1
249309,1,3,1,3,-1,-1
249460,1,1,1,1,-1,-1
249516,1,2,1,2,-1,-1
249553,1,2,1,2,-1,-1
249640,1,1,0,-1,1,1
249658,1,1,1,1,-1,-1
249661,1,1,1,1,-1,-1
249683,1,2,1,2,-1,-1
249684,1,3,1,3,-1,-1
249710,1,1,1,1,-1,-1
249775,1,2,1,2,-1,-1
249791,0,-1,0,-1,-1,2
249803,1,2,1,2,-1,-1
249845,1,1,1,1,-1,-1
249920,1,1,0,-1,1,1
250011,1,2,1,2,-1,-1
250015,1,1,1,1,-1,-1
250088,1,2,1,2,-1,-1
250141,1,2,1,2,-1,-1
250401,1,1,1,3,1,1
250424,1,3,1,3,-1,-1
250485,1,3,1,3,-1,-1
250542,1,2,1,2,-1,-1
250764,1,2,1,2,-1,-1
250809,1,3,1,3,-1,-1
250868,1,1,1,1,-1,-1
251271,1,1,1,1,-1,-1
251593,1,2,1,2,-1,-1
256656,1,1,1,1,-1,-1
261795,1,2,1,2,-1,-1
262357,1,2,1,2,-1,-1
262361,1,1,1,1,-1,-1
264562,1,2,1,2,-1,-1
265618,1,1,1,1,-1,-1
266230,1,2,1,2,-1,-1
266818,1,3,1,3,-1,-1
266949,1,1,1,1,-1,-1
266958,1,1,1,1,-1,-1
267833,1,1,1,2,1,1
