ID,Pass,Grade,Pass Sess 0,Grade Sess 0,Grade Sess 1,Pass Sess 1
245355,1,3,1,3,-1,-1
245390,1,2,1,2,-1,-1
245395,1,1,1,1,-1,-1
245410,1,2,2,-1,2,1
245426,1,1,1,1,-1,-1
245427,1,1,2,-1,1,1
245430,1,1,1,1,-1,-1
245442,1,2,1,2,-1,-1
245447,1,2,1,2,-1,-1
245464,1,1,1,1,-1,-1
245492,1,2,1,3,2,1
245510,1,1,1,1,-1,-1
245511,1,1,2,-1,1,1
245532,1,1,1,1,-1,-1
245539,1,2,1,2,-1,-1
245540,1,1,1,1,-1,-1
245553,1,1,1,1,-1,-1
245563,1,1,1,1,-1,-1
245569,1,2,2,-1,-1,0
245574,1,2,1,2,-1,-1
245611,1,3,2,-1,3,1
245613,1,1,2,-1,1,1
245636,1,2,1,2,-1,-1
245651,1,1,1,1,-1,-1
245653,1,1,1,1,-1,-1
245654,1,2,1,2,-1,-1
245665,1,1,1,1,-1,-1
245671,1,1,2,-1,-1,2
245696,1,2,1,2,-1,-1
245699,1,1,1,1,-1,-1
245701,1,1,2,-1,1,1
245711,1,2,2,-1,2,1
245718,1,1,1,1,-1,-1
245719,1,2,2,-1,-1,2
245747,1,1,2,-1,1,1
245794,1,2,1,2,-1,-1
245797,1,2,2,-1,2,1
245802,2,-1,2,-1,-1,2
245811,1,2,2,-1,2,1
245820,1,2,2,-1,2,1
245831,1,1,1,1,-1,-1
245847,1,3,2,-1,3,1
245865,1,1,1,1,-1,-1
245867,1,1,1,1,-1,-1
245895,1,1,1,1,-1,-1
245896,1,1,1,1,-1,-1
245899,1,1,1,1,-1,-1
245948,1,2,1,2,-1,-1
245954,1,2,1,2,-1,-1
245990,2,-1,2,-1,-1,2
245991,1,1,2,-1,1,1
246006,1,2,1,2,-1,-1
246014,1,2,1,2,-1,-1
246015,1,1,1,1,-1,-1
246056,1,1,2,-1,1,1
246064,1,1,1,1,-1,-1
246067,1,3,2,-1,3,1
246076,1,2,1,2,-1,-1
246101,1,3,2,-1,3,1
246131,1,2,1,2,-1,-1
246157,1,1,1,1,-1,-1
246163,1,1,1,1,-1,-1
246175,1,2,2,-1,2,1
246204,1,1,1,1,1,1
246243,2,-1,2,-1,-1,2
246249,1,2,1,2,-1,-1
246251,1,3,1,3,-1,-1
246269,2,-1,2,-1,-1,2
246281,1,1,2,-1,1,1
246285,1,2,1,2,-1,-1
246292,1,1,1,1,-1,-1
246328,1,2,2,-1,2,1
246343,1,2,1,2,-1,-1
246366,1,1,1,1,-1,-1
246377,1,2,1,2,-1,-1
246389,1,1,1,1,-1,-1
246390,1,2,2,-1,2,1
246402,1,3,2,-1,3,1
246497,1,1,2,-1,1,1
246500,1,2,1,2,-1,-1
246502,1,1,1,1,-1,-1
246508,1,1,2,-1,-1,2
246517,1,1,1,2,1,1
246518,1,2,1,2,-1,-1
246533,1,1,2,-1,1,1
246536,1,1,2,-1,-1,2
246541,1,2,1,2,-1,-1
246545,1,2,1,2,-1,-1
246578,1,1,1,1,-1,-1
246588,1,2,1,2,-1,-1
246610,1,1,2,-1,1,1
246619,1,2,2,-1,2,1
246628,1,3,1,3,-1,-1
246647,1,3,1,3,-1,-1
246652,1,1,1,3,1,1
246666,1,3,2,-1,-1,2
246696,1,1,1,1,-1,-1
246702,1,1,1,1,-1,-1
246706,1,1,2,-1,1,1
246715,1,1,1,1,-1,-1
246733,1,1,1,1,-1,-1
246735,0,-1,0,-1,-1,2
246743,1,1,2,-1,-1,2
246748,1,2,1,2,-1,-1
246762,1,2,2,-1,2,1
