ID,CommitCount#Lab1,Failed#Lab1,Passed#Lab1,Error#Lab1,Done#Lab1 ,ActiveDays#Lab1,CommitsPerDay#Lab1
222857,0.3333333333333333,0.25,0.3571428571428571,0.375,1.0,0.375,0.2222222222222222
222889,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
223038,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
223039,0.1111111111111111,0.125,0.5714285714285714,0.125,1.0,0.125,0.2222222222222222
223057,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
223110,0.2222222222222222,0.25,0.3571428571428571,0.375,1.0,0.25,0.2222222222222222
223269,0.1111111111111111,0.125,0.5714285714285714,0.125,1.0,0.25,0.1111111111111111
223927,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
224013,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
224181,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
224313,0.07407407407407407,0.375,0.4285714285714285,0.125,1.0,0.125,0.1111111111111111
224399,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
224433,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
224630,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
224632,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
225063,0.07407407407407407,0.0,0.0,0.0,1.0,0.125,0.1111111111111111
225951,0.14814814814814814,0.25,0.5,0.125,1.0,0.25,0.1111111111111111
225982,0.4444444444444444,0.125,0.5714285714285714,0.125,1.0,0.625,0.2222222222222222
226131,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
226265,0.37037037037037035,0.125,0.4285714285714285,0.375,1.0,0.25,0.4444444444444444
226421,0.14814814814814814,0.125,0.5714285714285714,0.125,1.0,0.25,0.1111111111111111
226464,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
226517,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
226619,0.14814814814814814,1.0,0.07142857142857142,0.125,1.0,0.25,0.1111111111111111
226718,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
226761,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
226808,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
227086,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
227245,0.14814814814814814,0.125,0.14285714285714285,0.875,1.0,0.375,0.1111111111111111
227246,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
227564,0.18518518518518517,1.0,0.07142857142857142,0.125,1.0,0.25,0.2222222222222222
227689,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
227734,0.14814814814814814,0.375,0.4285714285714285,0.125,1.0,0.25,0.1111111111111111
227834,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
227969,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
227998,0.1111111111111111,0.625,0.2857142857142857,0.125,1.0,0.125,0.2222222222222222
228074,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
228260,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
228326,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
228341,0.3333333333333333,0.125,0.5714285714285714,0.125,1.0,0.5,0.2222222222222222
228347,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
228354,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
228397,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
228464,0.3333333333333333,0.125,0.5714285714285714,0.125,1.0,0.625,0.1111111111111111
228534,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
228544,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
228547,0.1111111111111111,0.0,0.07142857142857142,0.0,1.0,0.25,0.1111111111111111
228653,0.1111111111111111,1.0,0.07142857142857142,0.125,1.0,0.25,0.1111111111111111
228732,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
229135,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
229200,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
229231,0.6666666666666665,0.25,0.2857142857142857,0.5,1.0,0.75,0.2222222222222222
229305,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
229335,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
229441,0.3333333333333333,0.5,0.07142857142857142,0.625,1.0,0.125,0.8888888888888888
229445,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
229703,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.5,0.1111111111111111
